id,email,supabase_id,name,created_at,updated_at,birthDate,favoriteSports,firstName,isConnecting,lastName,location,profileImageUrl
b7d79b86-1f28-4a86-a2db-013bdc66e26d,olivia.brown@mail.com,fd1c41d5-22f0-42df-9610-96e4c3622650,,2025-05-28 17:07:41.434,2025-05-28 17:08:27.273,1997-12-15,"Climbing, Yoga",Olivia,t,Brown,"Denver, CO",https://nbuehlsqragmugbuuubn.supabase.co/storage/v1/object/public/avatars/public/6ad4f405-b03f-45b4-a960-4123d6e05ab7.avif
d4a6dc73-8e5c-4fbe-903a-70259c37a665,noah.davis@mail.com,c992aebc-27d4-43f7-a9c4-c22975fbcb63,,2025-05-28 17:09:27.577,2025-05-28 17:10:02.542,1985-06-30,"Surfing, Basketball",Noah,t,Davis,"Miami, FL",https://nbuehlsqragmugbuuubn.supabase.co/storage/v1/object/public/avatars/public/0c050cee-8a11-44c0-9b52-b74f7d9335e1.avif
7da70d36-b4a4-4983-b5b3-38e5d84487d8,ava.miller@mail.com,0e3ad338-b587-4bb2-8177-bbbc24fc6d70,,2025-05-28 17:10:41.684,2025-05-28 17:11:45.643,1991-03-11,"Cycling, Running",Ava,t,Miller,"Portland, OR",https://nbuehlsqragmugbuuubn.supabase.co/storage/v1/object/public/avatars/public/cc557b2b-0aa2-4e15-8c1d-3bd1466da670.avif
72fc89a7-1012-4e91-b06d-6761e1ff1b22,will.moore@mail.com,75561735-a546-4575-95f9-66b5e5bdd893,,2025-05-28 17:12:39.695,2025-05-28 17:13:16.064,1989-12-08,"Rowing, Baseball",William,t,Moore,"Boston, MA",https://nbuehlsqragmugbuuubn.supabase.co/storage/v1/object/public/avatars/public/f86f8fef-9647-42c3-a0c1-dce0ac4b61f4.avif
6397c37b-05be-4921-ba07-12a4c8b8bf28,alex.martin@example.com,591bfc0d-376d-4291-a16a-6b5e08ad414d,,2025-05-27 19:34:42.518,2025-05-27 19:36:28.339,1995-04-15,"Basketball, Tennis",Alex,t,Martin,"New York, NY",https://nbuehlsqragmugbuuubn.supabase.co/storage/v1/object/public/avatars/public/72e6827e-6ff3-4a6a-85e9-2ae67008b1c8.avif
c0bfa654-452c-417d-ae2b-41d28f911bf7,sophia.lee@mail.com,a061ecf3-2bf8-4202-8c5b-b076cceb81a9,,2025-05-28 17:00:07.875,2025-05-28 17:01:41.777,1988-11-23,"Soccer, Running",Sophia,t,Lee,"San Francisco, CA",https://nbuehlsqragmugbuuubn.supabase.co/storage/v1/object/public/avatars/public/1468c493-319e-45f2-9656-eb0693f74712.avif
083ae32e-6346-4a90-a817-1b6ea60e31d3,emma.wilson@mail.com,cab20d0b-1a0c-4ca8-b13c-24b60c36637a,,2025-05-28 17:04:03.193,2025-05-28 17:05:34.605,1990-02-19,"Swimming, Volleyball",Emma,t,Wilson,"Seattle, WA",https://nbuehlsqragmugbuuubn.supabase.co/storage/v1/object/public/avatars/public/403d8709-45ff-4b66-99ad-1d74877bbe9a.avif
e51097d3-0ba6-4150-8741-c9310e9039ce,liam.smith@mail.com,5682ba50-c4f0-4aae-ac05-5005d37b2ed0,,2025-05-28 17:06:21.419,2025-05-28 17:06:59.823,1993-09-10,"Football, Hockey",Liam,t,Smith,"Chicago, IL",https://nbuehlsqragmugbuuubn.supabase.co/storage/v1/object/public/avatars/public/f738127b-d61d-4267-8ab0-258988e9322b.avif
7e06a207-ea00-4e26-b56f-c35867447934,jg@mail.com,d5ac5b23-4e53-48d3-973e-4356682e1746,,2025-05-16 20:42:24.458,2025-05-28 17:15:57.141,1994-05-05,"Pickleball, CrossFit, Soccer",Jared,f,Gentry,"Spartanburg, SC",https://nbuehlsqragmugbuuubn.supabase.co/storage/v1/object/public/avatars/public/44289a20-27e2-49f2-ae88-54fd386d9f3b.jpg
f20fef9d-b398-451c-8061-813044243cd5,mikejones@mail.com,9ad4b1bd-fa00-43b4-8d88-4394cf6d50b0,,2025-05-28 17:02:35.446,2025-05-29 20:25:24.191,1995-07-02,"Baseball, Golf",Mike,t,Jones,"Austin, TX",https://nbuehlsqragmugbuuubn.supabase.co/storage/v1/object/public/avatars/public/fd61050f-e524-45df-b009-3d8548ddf3bc.avif
f826ba38-0eec-463a-9716-31eb792c15de,mia.taylor@mail.com,e99b6a01-f751-474c-a3b3-3305deed3806,,2025-05-28 17:14:00.484,2025-05-29 20:29:24.948,1994-05-17,"Skateboarding, Tennis",Mia,t,Taylor,"Los Angeles, CA",https://nbuehlsqragmugbuuubn.supabase.co/storage/v1/object/public/avatars/public/ad659d27-28a8-403a-9094-b913d5a9248c.avif
207ae3f8-1430-461a-b056-ed1c8524f0ab,jacob@mail.com,b71e0a12-a3e1-4ce9-aa37-bf75d21e6132,,2025-06-03 23:59:59.747,2025-06-03 23:59:59.747,,,,t,,,
